Cell,MEK,Tot_Prot,MEK_Norm,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66
47,661.281813,1809.772826,0.365394929,-0.019973001,-0.062368249,-0.047993375,-0.036986113,-0.061634939,0.363705551,-0.052191227,-0.129138853,-0.081383472,0.127963677,-0.091429997,-0.088363611,-0.039390936,0.006932891,0.067963219,0.3687751,0.159828696,0.317313864,0.219545646,0.268210384,0.445524216,0.53155973,0.399951081,0.414852443,0.452309476,0.392093377,0.571899706,0.318688394,0.51909851,0.419012394,0.37747052,0.402216552,0.456482973,0.450890982
48,729.982468,1944.828962,0.37534533,-0.013396016,-0.000125532,0.013109965,-0.015985904,0.026375235,-0.01437795,0.004977699,-0.01055617,0.003590359,0.006388313,0.042707252,0.003597665,0.037755273,0.071955176,0.121161304,0.128587645,0.077766589,0.240052741,0.174848713,0.2288173,0.264278953,0.264892928,0.331098755,0.334062889,0.381045393,0.33100854,0.306603029,0.303401415,0.285216421,0.325535263,0.368944124,0.316222362,0.299493465,0.339247543
49,584.1715939,1242.516343,0.47015204,0.002865266,0.03050652,-0.000831449,-0.003980171,0.003704596,-0.002352452,-0.018441325,-0.01677505,-0.004754708,0.010058771,0.010908596,0.068162272,0.176614859,0.303988588,0.376761778,0.441223247,0.42479246,0.374771252,0.326750066,0.252254565,0.187611297,0.116576052,0.108988934,0.05347096,0.05871219,0.031337719,0.006479549,0.00318314,0.022811225,0.037666814,0.052179267,0.096954848,0.101484347,0.160297326
50,653.9595442,2438.546863,0.268175918,-0.020764505,-0.017243587,0.005691434,0.02252738,-0.000272378,-0.00421962,-0.005237835,0.003704129,0.003814071,0.012000912,0.033327214,0.096216599,0.311922036,0.232545535,0.42528008,0.263120191,0.455455543,0.233719916,0.448916468,0.439370178,0.480409171,0.462618494,0.248955034,0.21407524,0.17892156,0.10387324,0.371988218,0.424528525,0.457948161,0.595137692,0.568771348,0.180461199,0.547441169,0.585028255
51,852.4969871,2862.01149,0.297866375,-0.006054816,-0.001177562,0.004095185,-0.005227574,-0.005134045,0.001167093,0.008892403,-0.009053023,0.003758619,0.00873372,0.037900003,0.077350179,0.24503766,0.366155351,0.512275612,0.476450984,0.535711225,0.445956334,0.527105111,0.497974396,0.503788348,0.488915928,0.410331727,0.389956814,0.36748534,0.379236323,0.450734604,0.420763896,0.404523857,0.328311156,0.402398308,0.268869386,0.317225767,0.351313921
52,784.2587496,2290.745604,0.3423596,-0.006304259,0.011595637,0.012946954,0.027008468,0.005636491,0.00103689,0.031526541,-0.048077796,-0.02048897,-0.014879956,0.040575965,0.088130936,0.370429364,0.567972304,0.507269126,0.581206403,0.586246881,0.606933348,0.572695143,0.542815608,0.558634671,0.547184027,0.587414872,0.562428611,0.570989036,0.580883923,0.542391824,0.522601736,0.509388947,0.557874938,0.522672833,0.589088812,0.600178726,0.520323199
53,551.9788526,1255.45524,0.439664303,0.028103531,0.006357251,-0.012509656,-0.024336007,-0.014311665,-0.012540632,-0.01580334,-0.015019675,0.032266847,0.027793346,0.027249666,0.000422075,-0.029484484,-0.00140752,-0.084480414,-0.090598061,-0.156817026,-0.100829244,-0.186546665,-0.16945629,-0.189665986,-0.195186651,-0.131955024,-0.153208841,-0.141499763,-0.122306224,-0.195359584,-0.206152778,-0.207103362,-0.130064231,-0.204077616,-0.157263649,-0.115970823,-0.150267092
54,648.9035851,2107.486386,0.307904046,-0.008928626,-0.002152346,0.001375046,-0.004644481,-0.002268612,0.006171577,-0.025510664,0.01935059,-0.000413154,0.017020671,0.030933298,-0.006876034,-0.008982921,-0.147697348,-0.040819446,-0.16167267,-0.032484516,-0.166024057,-0.04633061,-0.051673225,-0.037176055,-0.043432466,-0.198058516,-0.173366967,-0.206623167,-0.20879408,-0.058675622,-0.046606952,-0.069506251,-0.200112168,-0.069484374,-0.215250295,-0.174727586,-0.198170318
55,577.7746144,1688.511406,0.342179871,-0.040295883,-0.012445015,-0.010665867,0.046134309,0.009438476,0.021492634,0.035157967,-0.085304671,0.00202653,0.034461522,0.023351744,0.04131847,0.033653488,-0.091101212,0.019435932,0.00409799,0.074948904,-0.056453408,0.111288152,0.154392978,0.112073726,0.187110268,0.006352217,0.038846068,0.082570495,0.13818513,0.269166028,0.209389161,0.296995761,0.073520328,0.250303466,0.100341521,0.166593162,0.043013736
56,722.7866743,2681.871074,0.26950836,-0.016050867,-0.003257049,-0.02376466,0.004193312,0.028605266,-0.002265579,0.002500149,-0.009440466,0.000791928,0.018687965,0.046770192,0.040114253,0.033931287,-0.037679796,0.033698743,-0.016216402,-0.000982332,-0.079952635,0.014995824,-0.011201201,0.024101278,0.0295174,-0.052029224,-0.029985507,-0.031720626,-0.054258823,0.06794283,0.06522506,0.074625638,0.007635364,0.093960479,0.018796358,0.038837417,0.003539432
57,548.5253613,1395.139551,0.393168813,0.020480342,0.011566739,0.01019909,-0.022701681,-0.006542897,-0.003197819,-0.001936146,-0.03445472,0.00396158,0.022625513,0.014063921,0.008255601,0.039318332,0.040842432,0.022116697,0.026146413,0.015367126,0.027496419,-0.008174965,-0.022357755,-0.013943453,-0.044446866,-0.065322581,-0.06498315,-0.053352758,-0.070596854,-0.123384427,-0.135985446,-0.140086754,-0.123539183,-0.168154351,-0.117253181,-0.110330961,-0.104184741
58,686.4317291,2091.118358,0.328260582,0.04321577,0.050170498,0.015258412,0.019720522,0.018192125,0.006195919,-0.020993729,-0.100599024,-0.043648036,0.012487543,-0.014936595,0.01248162,-0.03760735,0.064645491,-0.052627114,-0.025988427,-0.023347482,0.073659608,-0.03864891,-0.022453502,-0.004735625,-0.054866844,-0.013643652,0.036408209,0.041642822,0.077981744,-0.000413565,-0.04831877,0.004946119,0.048811873,-0.032036058,0.044934628,0.261391245,9.90E-05
